steps,actions,rewards,states,agent_positions,transit_status,water_levels,fire_levels,final_destinations,transit_targets
0,"[4, 2, 3]",0.0,"[2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['starter_0', 'starter_0', 'starter_0']","[False, False, False]","[10, 10, 10]","[50, 30, 40, 50, 45]","['None', 'None', 'None']","['None', 'None', 'None']"
1,"[4, 2, 3]",0.0,"[2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","['starter_0', 'starter_0', 'starter_0']","[True, True, True]","[10, 10, 10]","[50, 30, 40, 50, 45]","['fire_4', 'fire_2', 'fire_3']","['depot_0', 'depot_0', 'depot_0']"
2,"[4, 2, 3]",0.0,"[3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 5.0, 5.0, 5.0, 10.0, 10.0, 10.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","['depot_0', 'depot_0', 'depot_0']","[True, True, True]","[10, 10, 10]","[50, 30, 40, 50, 45]","['fire_4', 'fire_2', 'fire_3']","['fire_2', 'fire_2', 'fire_2']"
3,"[4, 2, 3]",5.0,"[3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 5.0, 5.0, 5.0, 10.0, 10.0, 10.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","['depot_0', 'depot_0', 'depot_0']","[True, True, True]","[10, 10, 10]","[50, 30, 40, 50, 45]","['fire_4', 'fire_2', 'fire_3']","['fire_2', 'fire_2', 'fire_2']"
4,"[4, 8, 3]",0.0,"[5.0, 2.0, 0.0, 2.0, 4.0, 2.0, 5.0, 2.0, 0.0, 2.0, 4.0, 2.0, 5.0, 2.0, 0.0, 2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 10.0, 0.0, 10.0, 50.0, 30.0, 30.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","['fire_2', 'fire_2', 'fire_2']","[True, False, True]","[10, 0, 10]","[50, 30, 30, 50, 45]","['fire_4', 'None', 'fire_3']","['fire_3', 'None', 'fire_3']"
5,"[4, 8, 3]",5.0,"[5.0, 2.0, 0.0, 2.0, 4.0, 2.0, 5.0, 2.0, 0.0, 2.0, 4.0, 2.0, 5.0, 2.0, 0.0, 2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 10.0, 0.0, 10.0, 50.0, 30.0, 30.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","['fire_2', 'fire_2', 'fire_2']","[True, True, True]","[10, 0, 10]","[50, 30, 30, 50, 45]","['fire_4', 'starter_0', 'fire_3']","['fire_3', 'depot_0', 'fire_3']"
6,"[4, 8, 4]",0.0,"[5.0, 4.0, 2.0, 0.0, 2.0, 3.0, 5.0, 2.0, 0.0, 2.0, 4.0, 2.0, 5.0, 4.0, 2.0, 0.0, 2.0, 3.0, 3.0, 2.0, 3.0, 10.0, 0.0, 0.0, 50.0, 30.0, 30.0, 40.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","['fire_3', 'fire_2', 'fire_3']","[True, True, False]","[10, 0, 0]","[50, 30, 30, 40, 45]","['fire_4', 'starter_0', 'None']","['fire_4', 'depot_0', 'None']"
7,"[4, 8, 4]",5.0,"[5.0, 4.0, 2.0, 0.0, 2.0, 3.0, 3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 5.0, 4.0, 2.0, 0.0, 2.0, 3.0, 3.0, 5.0, 3.0, 10.0, 0.0, 0.0, 50.0, 30.0, 30.0, 40.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","['fire_3', 'depot_0', 'fire_3']","[True, True, True]","[10, 0, 0]","[50, 30, 30, 40, 45]","['fire_4', 'starter_0', 'fire_4']","['fire_4', 'starter_0', 'fire_4']"
8,"[1, 5, 4]",-1.0,"[7.0, 6.0, 4.0, 2.0, 0.0, 3.0, 2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 5.0, 4.0, 2.0, 0.0, 2.0, 3.0, 4.0, 8.0, 3.0, 0.0, 0.0, 0.0, 50.0, 30.0, 30.0, 40.0, 35.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","['fire_4', 'starter_0', 'fire_3']","[False, False, True]","[0, 0, 0]","[50, 30, 30, 40, 35]","['None', 'None', 'fire_4']","['None', 'None', 'fire_4']"
9,"[1, 5, 5]",5.0,"[7.0, 6.0, 4.0, 2.0, 0.0, 3.0, 2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 7.0, 6.0, 4.0, 2.0, 0.0, 3.0, 4.0, 8.0, 4.0, 0.0, 0.0, 0.0, 50.0, 30.0, 30.0, 40.0, 35.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","['fire_4', 'starter_0', 'fire_4']","[True, True, False]","[0, 0, 0]","[50, 30, 30, 40, 35]","['fire_1', 'depot_0', 'None']","['fire_3', 'depot_0', 'None']"
